District,Year,Month,Lat,Lon,Rainfall_mm,DMI,ONI,MJO_Phase,MJO_Amp
Bengaluru Urban,2000,1,12.97,77.59,0.0,-0.125,-1.66,3.7096774193548385,0.6000893251612903
Bengaluru Urban,2000,2,12.97,77.59,14.658233046531677,-0.009,-1.41,3.793103448275862,1.1428570703448275
Bengaluru Urban,2000,3,12.97,77.59,2.797484815120697,0.141,-1.07,3.3870967741935485,0.9157557180645162
Bengaluru Urban,2000,4,12.97,77.59,23.76590660214424,0.141,-0.81,4.533333333333333,0.9053602656666667
Bengaluru Urban,2000,5,12.97,77.59,25.33929169178009,0.113,-0.71,5.483870967741935,0.9960924206451613
Bengaluru Urban,2000,6,12.97,77.59,43.549197405576706,-0.022,-0.64,4.1,0.7017651786833333
Bengaluru Urban,2000,7,12.97,77.59,58.974823251366615,0.077,-0.55,5.548387096774194,1.5948303687096774
Bengaluru Urban,2000,8,12.97,77.59,101.25784248113632,0.131,-0.51,3.838709677419355,1.62711539
Bengaluru Urban,2000,9,12.97,77.59,72.71166005730629,-0.096,-0.55,4.1,1.278711512
Bengaluru Urban,2000,10,12.97,77.59,83.21698969602585,-0.142,-0.63,4.806451612903226,1.5696261258064517
Bengaluru Urban,2000,11,12.97,77.59,1.4906501173973083,-0.306,-0.75,4.266666666666667,1.6378827666666667
Bengaluru Urban,2000,12,12.97,77.59,2.1482381969690323,-0.248,-0.74,4.806451612903226,1.1626311996774195
Bengaluru Urban,2001,1,12.97,77.59,0.5550461411476135,-0.431,-0.68,2.5483870967741935,1.8043092477419354
Bengaluru Urban,2001,2,12.97,77.59,0.0,-0.016,-0.52,5.25,2.3275103500000003
Bengaluru Urban,2001,3,12.97,77.59,0.5419012308120728,-0.01,-0.44,5.258064516129032,0.6080977735483871
Bengaluru Urban,2001,4,12.97,77.59,75.38107073307037,0.136,-0.34,4.533333333333333,0.6858787033333333
Bengaluru Urban,2001,5,12.97,77.59,8.459031261503696,0.137,-0.25,5.451612903225806,1.5366611332258064
